类别,一级词,二级词,三级词-痛点,三级词-人群,三级词-意图
# 主关键词-品牌,Clacky,品牌词-Clacky,Clacky内测资格/Clacky beta/Clacky价格/Clacky官网,独立开发者/技术创业者/CTO,申请内测/购买决策
# 主关键词-品牌,Clacky,品牌词-L3,L3 Agentic AI CDE/L3五五开/"你思考架构AI完成代码",独立开发者/程序员/CTO,了解L3概念/选型评估
# 主关键词-品牌,Clacky,品牌词-云端CDE,云端开发环境/不需要本地权限/数据隔离,企业CTO/合规负责人,企业采购/安全评估
# 主关键词-品牌,Clacky,竞品对比词,OpenClaw安全漏洞/Code agent抽卡/Hermes不稳定,竞品用户/技术选型负责人,替换竞品/对比评估
# 主关键词-竞品,OpenClaw,基础认知,OpenClaw是什么/AI Agent是什么/Long-Horizon Agent,新手用户/独立开发者,了解阶段/搜索
# 主关键词-竞品,OpenClaw,安全事件,中毒/CVE-2026-25593/42万公网暴露/误删邮件,技术管理者/安全负责人,了解安全风险
# 主关键词-竞品,OpenClaw,使用痛点,3.31问题多/微信卡死/Telegram发图崩溃/无推送通知,OpenClaw用户,解决问题
# 主关键词-竞品,OpenClaw,企业禁用,韩国三星禁用/NVDB预警/微软定性不可信,企业IT/合规,企业采购决策
# 主关键词-竞品,Cursor,抽卡幻觉,抽卡率50%+/解决A引B和C/代码量增加就崩,全栈工程师/程序员,Bug修复/选型替换
# 主关键词-竞品,Cursor,Token成本,Sonnet贵/20000+ token首轮/每天几百块没了,个人开发者/预算有限者,省钱方案
# 主关键词-竞品,Cursor,软技能,干完不通知/需要人盯着/半夜要起来看,独立开发者/远程开发者,通知推送需求
# 主关键词-竞品,Hermes,稳定性,一卡就完/无自恢复/早期产品不稳定,Hermes用户,替换稳定方案
# 主关键词-竞品,Hermes,接入问题,阿里云百炼不支持/飞书接入不清晰/文档缺失,技术选型负责人,接入评估
# 主关键词-竞品,Code agent,效率问题,20000+ token首轮/幻觉/上下文理解不足,个人开发者/全栈工程师,降本替换
# 主关键词-竞品,Code agent,协作缺失,单人用挺好多人完全不行/没有团队功能,团队技术负责人,团队选型
# 主关键词-品类,AI编程工具,通用认知,AI编程是什么/L3进化阶段/最好的AI编程工具,全行业用户,了解阶段
